ra,dec,pmra,pmdec
5.861205930127326269e+00,-7.192095890611876996e+01,5.179147069529584257e+00,-3.054480605803987725e+00
5.849742173664711054e+00,-7.204049667010060887e+01,5.887786617562781544e+00,-2.974210744885394941e+00
4.769815196730095685e+00,-7.210529660677009645e+01,5.226887661294428611e+00,-2.932451425016247892e+00
6.269563504901000783e+00,-7.200335636437017683e+01,5.368092922830274283e+00,-3.231073923354327970e+00
6.047400965851610799e+00,-7.191576973649100069e+01,5.073294177743147948e+00,-2.583422770579233863e+00
6.238372211546766799e+00,-7.185828412663943254e+01,5.642589006257187734e+00,-2.681713251358535999e+00
5.751681410444146714e+00,-7.175300671848013678e+01,5.244902145516936898e+00,-2.743820682623471896e+00
6.410732234121574891e+00,-7.196450198892728167e+01,5.471456558623351007e+00,-2.844121913110841948e+00
6.616834016449731237e+00,-7.208523161870679985e+01,5.595298159022607187e+00,-2.523026005808824301e+00
6.336940599668291263e+00,-7.186456161295220113e+01,5.920342173591281565e+00,-2.959061648959645741e+00
6.580226587819865358e+00,-7.217923039000191920e+01,5.339058778620726642e+00,-3.120971078952232247e+00
5.819859611362002028e+00,-7.211546549477903056e+01,5.356694387802998669e+00,-3.113733077303331598e+00
6.647013621130677841e+00,-7.218891802050497120e+01,5.235339713300610320e+00,-2.515176011378285725e+00
6.253292848650799485e+00,-7.185812490660094909e+01,5.280565095589872193e+00,-2.890032799606150782e+00
5.296609259225385280e+00,-7.220984343452030885e+01,5.237269487638899435e+00,-3.077860094125440593e+00
5.643202277661227839e+00,-7.215361905984403279e+01,5.463454735118694394e+00,-2.912683916163194553e+00
5.041974081557357046e+00,-7.198730239220822114e+01,5.237384379199698792e+00,-3.198090421470960454e+00
5.216990085409220157e+00,-7.224094870750241171e+01,5.314895841948003685e+00,-2.747609063251729378e+00
5.776654622926817417e+00,-7.221876893414720655e+01,5.665624894602438566e+00,-3.028336241067888679e+00
6.039580553780366401e+00,-7.221438652741336739e+01,5.890141686253800302e+00,-3.053580012903185814e+00
5.295075249699487507e+00,-7.194280234474962299e+01,5.222206528954375315e+00,-2.727784469068340822e+00
6.192848096795274593e+00,-7.205123732547784243e+01,5.552090785263042783e+00,-2.862280313589039338e+00
5.497690830323140432e+00,-7.208699089763001666e+01,5.469681082910363479e+00,-2.945323203723854366e+00
6.046537629565507999e+00,-7.196085596156389386e+01,5.346963397458599943e+00,-3.178020530567556179e+00
5.882599666606063593e+00,-7.204399605615967062e+01,5.240852306322466347e+00,-2.599468305084239539e+00
5.991003794020151041e+00,-7.227251946780731373e+01,5.225601412125472578e+00,-3.082422958946560598e+00
5.406046650636159967e+00,-7.214618977875969108e+01,5.511453100458410859e+00,-2.744442933612465829e+00
7.302439235911070803e+00,-7.200075617134442041e+01,5.341083093438417251e+00,-2.703303020401625734e+00
6.324645202146754741e+00,-7.204295008799698508e+01,5.307651049128507381e+00,-2.757629040284011346e+00
6.075730751979458333e+00,-7.205112239628792281e+01,5.231414381521430457e+00,-2.869826101799368256e+00
5.702550740738172586e+00,-7.197102622586855603e+01,5.448644027311495108e+00,-2.934115361938502087e+00
5.857439200050903239e+00,-7.201621881360780719e+01,5.427332762782814513e+00,-3.320879974939220158e+00
5.643097614459962941e+00,-7.193765969803970961e+01,5.299713622265009860e+00,-3.143566408480359176e+00
4.342319484773818239e+00,-7.224842455181810408e+01,5.405266388593882532e+00,-2.907477008357525428e+00
6.197819116649544213e+00,-7.210448761468157386e+01,5.754443629177460551e+00,-3.003119608234707805e+00
5.911593809974993619e+00,-7.221629466037535394e+01,5.042998926354320233e+00,-3.140035869811518943e+00
5.383746636030016575e+00,-7.226507530186876238e+01,5.553730056123445280e+00,-2.909834110282137676e+00
5.556288435764577649e+00,-7.222154904448360924e+01,5.067891987281214483e+00,-2.741405637278647500e+00
8.292215939314996120e+00,-7.217034584952487819e+01,5.578940211484682443e+00,-2.678748868901245306e+00
6.501952828919445260e+00,-7.185754434214547359e+01,5.837642474929467973e+00,-2.840352618442242516e+00
5.020009431328094074e+00,-7.212893624241449686e+01,5.468524891324623383e+00,-3.068394158841748265e+00
6.782480069817072632e+00,-7.194909308500112388e+01,5.837827696647000408e+00,-2.996323729336219266e+00
7.150501536247021228e+00,-7.188878413496424002e+01,5.655238035308906674e+00,-2.594835502641241298e+00
5.385719087158866714e+00,-7.180150197355577291e+01,5.466901224554487904e+00,-3.197690514642743231e+00
6.510697169422163810e+00,-7.189087974944415294e+01,5.395115153267692421e+00,-2.975775666571156108e+00
7.367463679558971634e+00,-7.227653879586264907e+01,5.364193802692870605e+00,-2.751761868376822129e+00
5.756766456692119505e+00,-7.201527694968345372e+01,4.878499506492570248e+00,-2.516864180187647904e+00
4.287320765109723375e+00,-7.231632371756299449e+01,5.248480531057018617e+00,-3.103018515994659055e+00
6.263314455778377088e+00,-7.182823368376610063e+01,5.798266133698189329e+00,-3.079943884064540338e+00
6.346571820100407990e+00,-7.182794848294551571e+01,5.765053513930183726e+00,-2.906865965496295612e+00
5.183171516184589045e+00,-7.206789168071566110e+01,5.856905028598536234e+00,-2.739507841321738191e+00
4.367361180427242751e+00,-7.202891133453820771e+01,5.325744819431122323e+00,-3.040191086961445244e+00
