ra,dec,pmra,pmdec
7.874665057179423400e+01,-6.903017851396835169e+01,1.654672965961075937e+00,5.220645172228199904e-01
7.880696966030620843e+01,-6.907522330565889490e+01,2.602458574138097891e+00,-2.790329333665137468e-01
7.880777770034498531e+01,-6.901798345868952822e+01,1.387296668893796214e+00,7.846547310910489959e-01
7.870405637249670860e+01,-6.901362805218235508e+01,3.206728928235589748e+00,8.396275610520470556e-01
7.872237087669853395e+01,-6.900039018766240417e+01,1.310269804422893758e+00,5.391980068978871055e-01
7.879876490282951806e+01,-6.900665546882304113e+01,2.544652258075524642e+00,-2.268558369927883289e-01
7.880900173300463507e+01,-6.908250164931965287e+01,1.522074506002589755e+00,4.046444137442308797e-01
7.878080075978121499e+01,-6.904932483926582165e+01,2.951485946265868243e+00,6.916297094749520591e-01
7.874146460695577332e+01,-6.903860141773851922e+01,1.800006450486365317e+00,1.690307752467480107e+00
7.889745549838326610e+01,-6.902070897806233063e+01,8.703179707969730394e-01,4.701643355761373488e-01
7.879908164417150829e+01,-6.901279134214769329e+01,1.341142382866224336e+00,7.938560682479235409e-01
7.876226276033784757e+01,-6.901556072447058909e+01,1.022590400385404941e+00,8.326856111787526160e-01
7.889801910309063260e+01,-6.900658023428749743e+01,2.277429871857112875e+00,5.809951490245781613e-01
7.882900586867218351e+01,-6.903708870873340686e+01,1.129694252283743428e+00,-3.639213617437933035e-01
7.867235808712474920e+01,-6.901686049565792302e+01,1.615451476878500880e+00,-3.383197583403074749e-02
7.886287999515509739e+01,-6.900511507276711143e+01,1.474218780751545221e+00,8.092333228634845943e-02
7.883868103410998174e+01,-6.901934421552533649e+01,1.263356590158687176e+00,8.879335454248710180e-01
7.890475101790438828e+01,-6.902882149387211541e+01,1.935556073011769573e+00,-1.743633174009201203e-01
7.881484753568363999e+01,-6.908106716970590355e+01,1.402176423660751459e+00,7.775840037084891243e-01
7.871952795177423923e+01,-6.899367220950797730e+01,1.343837059065606576e+00,5.827789319837823889e-01
7.870151753601706446e+01,-6.901500118520810645e+01,1.202699087939631095e+00,9.332971443998765437e-01
7.878636634239262548e+01,-6.902882367041050315e+01,2.696861914486470724e+00,3.264553639186776879e-01
7.875300863840081433e+01,-6.902623241069954929e+01,1.724520167203647647e+00,1.795092560854866792e-01
7.876613931433848848e+01,-6.897490293598038136e+01,2.200766170942472399e+00,7.361432829796357158e-01
7.875968929734257529e+01,-6.900093142890040099e+01,2.037289624401892318e+00,1.670010698291557905e+00
7.876829125986671443e+01,-6.901420552059640556e+01,2.487196811418246334e+00,5.726733760093726255e-01
7.877765149373698250e+01,-6.901470312099682758e+01,2.472890802846194003e+00,-5.667408452121980300e-02
7.862896281435527612e+01,-6.901559099920835649e+01,1.549683285861722881e+00,-7.017231837053767851e-01
7.873558350164665853e+01,-6.904952422723975758e+01,2.354072417782633764e+00,4.573147323608621195e-01
7.872434879727066459e+01,-6.901383650338247833e+01,1.933775600514334059e+00,-5.018912654114333627e-01
7.877864133997732665e+01,-6.903176913342412035e+01,3.128113226812012648e+00,-4.593641210380221551e-01
7.879334025903932570e+01,-6.907901201197319097e+01,1.622857098325565017e+00,-1.815502244031145518e-01
7.872831223240812903e+01,-6.901997373595931151e+01,1.242116832213434829e+00,1.271168516556739236e+00
7.872178749174445045e+01,-6.901252448122258443e+01,8.214561823004655761e-01,-3.470585226833824977e-02
7.875842825342725462e+01,-6.905624978619020737e+01,2.086009421678174824e+00,3.426037623725453063e-01
7.869614404347225900e+01,-6.903559078339598898e+01,1.978271260338950954e+00,2.634962961565864847e-01
7.870690111846147374e+01,-6.902456707851389694e+01,1.601124370091798976e+00,9.618322629737734442e-01
7.873378113742479911e+01,-6.899646885717150724e+01,9.765064610407077073e-01,3.328428209841594043e-02
7.877985065650990748e+01,-6.904256174577491834e+01,1.970569439892385422e+00,7.233460803863407396e-01
7.873185106378724640e+01,-6.899450781187982784e+01,2.360209282945819886e+00,1.112421939776225832e+00
7.874826142397971296e+01,-6.903151446649263789e+01,1.603294840683000766e+00,3.190654835499247555e-01
7.888870420581504561e+01,-6.901437180722943765e+01,1.785086878777585540e+00,4.158272377378534057e-01
7.868625547431325629e+01,-6.902338077824089169e+01,2.457410065030989355e+00,-3.581748814657760849e-01
7.874460800216043310e+01,-6.899127068267443974e+01,1.518263395788258086e+00,2.239010496073071121e-01
7.871392209282463170e+01,-6.900030611901671307e+01,2.490862458330915352e+00,5.393154854461617020e-01
7.882541035492610604e+01,-6.905466947656790921e+01,1.527408580218261314e+00,-9.677373491823320073e-01
7.880290562136508470e+01,-6.898992970515557488e+01,2.111029729060756477e+00,5.149670953598397549e-01
7.879493082237971180e+01,-6.902749922394087889e+01,4.975595506184115058e-01,4.098920543448512643e-01
7.868328775658470420e+01,-6.903324926286714458e+01,2.202869724374906912e+00,-1.007189295617222147e+00
7.869732430615917451e+01,-6.903873411847726516e+01,1.747109701040125973e+00,7.775672133695750166e-01
7.877721399812054415e+01,-6.903138452734800978e+01,2.838188699030687712e+00,-6.029493821568425727e-01
7.871469379712230818e+01,-6.903425138000963557e+01,2.465697285924811410e+00,9.802546501133746482e-01
